latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.03961097788733552,0.039511800957034,mvae,9.917693030152275e-05,0.25%,0.49366986533344087,0.546972018385614,mvae,0.05330215305217317,10.80%,1.5554425517908754,1.2187901838471338,mvae,0.33665236794374165,21.64%,0.6485130368838773,0.5657087151940104,mvae,0.08280432168986684,12.77%,0.10701072603553044,0.07319366187157626,mvae,0.03381706416395418,31.60%,0.4848468916928748,0.5176676608663194,mvae,0.03282076917344462,6.77%,0.34904406278019784,0.3700946025027577,mvae,0.02105053972255988,6.03%
4,0.02783987233578061,0.027777257952726668,mvae,6.261438305394176e-05,0.22%,0.8495282638496895,0.8489637932424804,vae,0.0005644706072090999,-0.07%,0.5944649443100324,0.6076758291164003,vae,0.013210884806367895,-2.22%,0.24677153409823463,0.2498918255959869,vae,0.003120291497752281,-1.26%,0.07599798270737239,0.07859582523118774,vae,0.002597842523815355,-3.42%,0.6090461801639061,0.6060096004005449,vae,0.003036579763361247,-0.50%,0.5047265427912186,0.508238194429711,mvae,0.003511651638492319,0.70%
16,0.011827605200962208,0.011706827640589947,mvae,0.00012077756037226148,1.02%,0.8995242319167809,0.9094427868720264,mvae,0.009918554955245518,1.10%,0.32476022031988566,0.3006318109234508,mvae,0.024128409396434847,7.43%,0.14916578502428712,0.1363274884388875,mvae,0.012838296585399617,8.61%,0.014009139286146145,0.011546775118284312,mvae,0.0024623641678618337,17.58%,0.5166336424017104,0.6458588908127083,mvae,0.12922524841099792,25.01%,0.39345645154325937,0.5901725304069673,mvae,0.1967160788637079,50.00%
32,0.011301340647986104,0.011049646212840353,mvae,0.00025169443514575125,2.23%,0.9141198290460447,0.9219417788887992,mvae,0.007821949842754528,0.86%,0.2879244822136434,0.2563570674078044,mvae,0.03156741480583902,10.96%,0.13056705438030425,0.1158814229818052,mvae,0.014685631398499044,11.25%,0.017068110489910616,0.01646941569089679,mvae,0.0005986947990138276,3.51%,0.6013827791616735,0.636745610007927,mvae,0.03536283084625347,5.88%,0.5358161502348259,0.5667547091230593,mvae,0.03093855888823338,5.77%
256,0.01210078019114166,0.011957234578958089,mvae,0.00014354561218357133,1.19%,0.9382307878396904,0.9520199983872268,mvae,0.013789210547536457,1.47%,0.21128634020784726,0.1666147415847721,mvae,0.044671598623075154,21.14%,0.09439687066551138,0.07506900792509431,mvae,0.019327862740417062,20.48%,0.02469059287824031,0.020179816627971553,mvae,0.004510776250268758,18.27%,0.5065268418285162,0.6165680029298244,mvae,0.11004116110130824,21.72%,0.3920928498413062,0.5342369496750135,mvae,0.14214409983370724,36.25%
512,0.012514856680763348,0.01278680377522966,vae,0.0002719470944663113,-2.17%,0.9431497459882268,0.9486331747439722,mvae,0.005483428755745479,0.58%,0.18854934299699216,0.17394037496226059,mvae,0.014608968034731579,7.75%,0.0852609851370022,0.0776778884505462,mvae,0.007583096686456001,8.89%,0.023236977571960818,0.02105066961035131,mvae,0.002186307961609509,9.41%,0.540956304408945,0.5255535460294546,vae,0.015402758379490455,-2.85%,0.43984100715210883,0.40615136103070265,vae,0.03368964612140618,-7.66%
