latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.04513669200442667,0.04521629587139559,vae,7.96038669689178e-05,-0.18%,0.11637096774193548,0.11741935483870967,mvae,0.0010483870967741976,0.90%,2.2949741583481096,2.294081185235726,mvae,0.000892973112383455,0.04%,0.8982807109908155,0.8981029246075565,mvae,0.00017778638325904872,0.02%,0.013799251416517843,0.012049832275557901,mvae,0.001749419140959942,12.68%,0.0054159574248423496,0.0057577982483707065,mvae,0.000341840823528357,6.31%,0.0016684267796984703,0.0018725659372830193,mvae,0.00020413915758454903,12.24%
4,0.040092079785405375,0.03986481835451308,mvae,0.0002272614308922935,0.57%,0.265,0.26870967741935486,mvae,0.003709677419354851,1.40%,2.0765555003177485,2.081364142378347,vae,0.004808642060598611,-0.23%,0.8212795830899281,0.8217408843434286,vae,0.0004613012535005234,-0.06%,0.05300644213874494,0.05567276799630733,vae,0.0026663258575623933,-5.03%,0.08511794364212226,0.08230225033964736,vae,0.0028156933024749004,-3.31%,0.04926003390791837,0.04962664515627644,mvae,0.000366611248358073,0.74%
16,0.030024370089261607,0.030107640108833038,vae,8.327001957143115e-05,-0.28%,0.6633870967741935,0.6683064516129033,mvae,0.004919354838709755,0.74%,1.002023059920884,1.0057096051673573,vae,0.0036865452464733828,-0.37%,0.4540462441649053,0.4524212887066217,mvae,0.0016249554582836168,0.36%,0.03009496034633731,0.03442545559737952,vae,0.0043304952510422115,-14.39%,0.2571423844293132,0.23938090525911057,vae,0.017761479170202626,-6.91%,0.1679086276216073,0.14891821820885087,vae,0.018990409412756426,-11.31%
32,0.028674646042302066,0.02858935307797199,mvae,8.529296433007483e-05,0.30%,0.7106451612903226,0.7123387096774193,mvae,0.0016935483870966772,0.24%,0.8904800145857289,0.8866748076517259,mvae,0.0038052069340029915,0.43%,0.40020965856161445,0.3984400395551271,mvae,0.0017696190064873663,0.44%,0.026668937994587787,0.02757933708568735,vae,0.0009103990910995612,-3.41%,0.2559083273174095,0.2614917189630307,mvae,0.005583391645621216,2.18%,0.1633612132966965,0.1728336345910816,mvae,0.00947242129438508,5.80%
256,0.02957287058224405,0.02928957755193654,mvae,0.0002832930303075104,0.96%,0.7535483870967742,0.7512903225806452,vae,0.002258064516128977,-0.30%,0.7696998069536215,0.7649938791067445,mvae,0.004705927846876956,0.61%,0.3454533941088841,0.3453286854537165,mvae,0.00012470865516761576,0.04%,0.03401889421286123,0.029506282400219686,mvae,0.004512611812641544,13.27%,0.24827646731770478,0.24255836314314388,vae,0.005718104174560895,-2.30%,0.15786293256292666,0.14905295851952377,vae,0.00880997404340289,-5.58%
512,0.030791966536862822,0.02982365915224378,mvae,0.0009683073846190431,3.14%,0.7548387096774194,0.7499193548387096,vae,0.004919354838709755,-0.65%,0.7646674502775505,0.7821213274136232,vae,0.017453877136072715,-2.28%,0.3428068171840056,0.35040986808796754,vae,0.007603050903961961,-2.22%,0.028438871192835977,0.029258390964279263,vae,0.0008195197714432854,-2.88%,0.24269758232929026,0.22037815699176536,vae,0.0223194253375249,-9.20%,0.1585469624280656,0.12300401772966597,vae,0.03554294469839962,-22.42%
