latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.04825181269190514,0.04872768540222289,vae,0.0004758727103177443,-0.99%,0.2025,0.26629032258064517,mvae,0.06379032258064515,31.50%,2.225001347682393,1.983355746211638,mvae,0.24164560147075487,10.86%,0.8686086294232434,0.793866319965783,mvae,0.0747423094574603,8.60%,0.08086119515460828,0.025337866865579158,mvae,0.055523328289029124,68.66%,0.1738839311946065,0.1852244628209195,mvae,0.011340531626313016,6.52%,0.13445183773471348,0.07982201089435113,vae,0.05462982684036234,-40.63%
4,0.037146292781264786,0.03699073211388654,mvae,0.00015556066737824892,0.42%,0.3406451612903226,0.3389516129032258,vae,0.0016935483870967882,-0.50%,1.6935867007042447,1.699538598125173,vae,0.005951897420928276,-0.35%,0.7250670175138291,0.7326375274367785,vae,0.007570509922949387,-1.04%,0.012206954232627342,0.01695222099341693,vae,0.004745266760789587,-38.87%,0.1630650818005112,0.16925192623456112,mvae,0.006186844434049904,3.79%,0.0835404275412938,0.08498291164033166,mvae,0.0014424840990378551,1.73%
16,0.015903436322993868,0.015499324572565054,mvae,0.00040411175042881324,2.54%,0.49338709677419357,0.4925806451612903,vae,0.0008064516129032695,-0.16%,1.3837934292928704,1.3796674039301822,mvae,0.004126025362688246,0.30%,0.6284477024487848,0.6258302173686391,mvae,0.0026174850801456984,0.42%,0.02458904346631419,0.01852279888766428,mvae,0.006066244578649911,24.67%,0.12010404060540802,0.14552971339008375,mvae,0.025425672784675724,21.17%,0.06427012418377219,0.07325933340682184,mvae,0.008989209223049646,13.99%
32,0.013033925396113744,0.01277743302496583,mvae,0.000256492371147915,1.97%,0.5291129032258064,0.5319354838709678,mvae,0.0028225806451613877,0.53%,1.316812320550802,1.3100119500965672,mvae,0.006800370454234761,0.52%,0.5952033848970851,0.5918234057912325,mvae,0.0033799791058526374,0.57%,0.021431996222705633,0.023049893555862296,vae,0.001617897333156662,-7.55%,0.09139786597165785,0.1040279530649698,mvae,0.012630087093311954,13.82%,0.047924645557712336,0.05256784119598954,mvae,0.004643195638277205,9.69%
256,0.013625773039987953,0.013386896891841926,mvae,0.0002388761481460274,1.75%,0.6747580645161291,0.6925806451612904,mvae,0.01782258064516129,2.64%,0.9986715479917001,0.9489099996624833,mvae,0.049761548329216754,4.98%,0.4531523690377184,0.4306357482312054,mvae,0.02251662080651301,4.97%,0.08059872311209478,0.06917021915436754,mvae,0.011428503957727237,14.18%,0.12805259676797665,0.09294756595127168,vae,0.03510503081670496,-27.41%,0.06612438208741252,0.050404795081566575,vae,0.015719587005845942,-23.77%
512,0.014306891995719422,0.014305009772857607,mvae,1.8822228618157327e-06,0.01%,0.6925,0.6929838709677419,mvae,0.0004838709677419395,0.07%,0.9618925427888982,0.9467683253224384,mvae,0.015124217466459866,1.57%,0.43581239311881553,0.42884517318628784,mvae,0.006967219932527691,1.60%,0.08219717268381388,0.0686447655325455,mvae,0.013552407151268375,16.49%,0.12848955365400722,0.104279459561467,vae,0.024210094092540213,-18.84%,0.06552569367987837,0.05592497726380711,vae,0.009600716416071263,-14.65%
