latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.037700044393539425,0.03755509130160014,mvae,0.0001449530919392858,0.38%,0.037083333333333336,0.03641666666666667,vae,0.0006666666666666696,-1.80%,4.430008756738008,4.418305348887343,mvae,0.011703407850665037,0.26%,0.9846208880073352,0.98425884164153,mvae,0.0003620463658051687,0.04%,0.00818497804986934,0.006731845544030269,mvae,0.0014531325058390714,17.75%,0.17095074863034893,0.17293076167734733,mvae,0.001980013046998408,1.16%,0.012147924190919536,0.012243717414841912,mvae,9.57932239223757e-05,0.79%
4,0.030088450802697075,0.029832559916708204,mvae,0.00025589088598887075,0.85%,0.07758333333333334,0.07691666666666666,vae,0.0006666666666666765,-0.86%,4.140907832801045,4.168435637174546,vae,0.02752780437350033,-0.66%,0.9724159943194244,0.9734792253543668,vae,0.0010632310349424356,-0.11%,0.019353765178471805,0.019932099695627894,vae,0.0005783345171560886,-2.99%,0.20750193827128793,0.20697861969365294,vae,0.0005233185776349902,-0.25%,0.019181424418736496,0.018988637240379105,vae,0.00019278717835739118,-1.01%
16,0.018459928936428494,0.01831564415825738,mvae,0.00014428477817111582,0.78%,0.13958333333333334,0.14083333333333334,mvae,0.0012500000000000011,0.90%,3.829875220668994,3.8154987092029793,mvae,0.014376511466014819,0.38%,0.9460200154265698,0.9457599474697348,mvae,0.0002600679568349751,0.03%,0.022165373763069516,0.02291252753231674,vae,0.0007471537692472253,-3.37%,0.21964107778645106,0.21627742577902265,vae,0.0033636520074284137,-1.53%,0.02682216123908666,0.02557597124495222,vae,0.0012461899941344397,-4.65%
32,0.015746027323934767,0.015375944786601597,mvae,0.00037008253733317,2.35%,0.16483333333333333,0.16775,mvae,0.0029166666666666785,1.77%,3.6667530542870717,3.6612808073290366,mvae,0.005472246958035054,0.15%,0.9317158562088421,0.9303850870553583,mvae,0.0013307691534838462,0.14%,0.019363347141072157,0.021424661614621685,vae,0.0020613144735495276,-10.65%,0.21951217729704517,0.22008842950885726,mvae,0.000576252211812095,0.26%,0.026145736884284666,0.027734994957636552,mvae,0.0015892580733518867,6.08%
256,0.015142702566252815,0.015167200287183125,vae,2.44977209303103e-05,-0.16%,0.19458333333333333,0.19575,mvae,0.001166666666666677,0.60%,3.5047049900763727,3.496747477552531,mvae,0.007957512523841803,0.23%,0.9116222880548941,0.9115740256159217,mvae,4.8262438972379584e-05,0.01%,0.026697969360897935,0.028833462278979514,vae,0.0021354929180815788,-8.00%,0.2206579264398879,0.22385301169055055,mvae,0.0031950852506626437,1.45%,0.027325477918806202,0.02676986481581214,vae,0.0005556131029940611,-2.03%
512,0.015323889440960354,0.015326672964625889,vae,2.7835236655355394e-06,-0.02%,0.20225,0.20091666666666666,vae,0.001333333333333353,-0.66%,3.4527532328588197,3.488821879619061,vae,0.03606864676024113,-1.04%,0.905426139829101,0.9084488380166519,vae,0.003022698187550854,-0.33%,0.024142841743926207,0.024613114076666536,vae,0.0004702723327403291,-1.95%,0.22228035018047199,0.22303507408998466,mvae,0.0007547239095126723,0.34%,0.0275532621595067,0.02654779951209222,vae,0.0010054626474144818,-3.65%
