latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.026951488995343532,0.026685380374029843,mvae,0.000266108621313689,0.99%,0.6522857142857142,0.6755,mvae,0.023214285714285743,3.56%,1.0590043917883643,0.9755624050605521,mvae,0.08344198672781211,7.88%,0.4824458607862294,0.4508649225763743,mvae,0.031580938209855136,6.55%,0.10025347919549264,0.08212731493158,mvae,0.018126164263912642,18.08%,0.5501428190808819,0.5464541013861617,vae,0.003688717694720234,-0.67%,0.37581930523558027,0.3931026060618646,mvae,0.01728330082628432,4.60%
4,0.019288669119075855,0.0192103448094849,mvae,7.832430959095471e-05,0.41%,0.7420714285714286,0.7365714285714285,vae,0.00550000000000006,-0.74%,0.7288540881495408,0.7263361815807727,mvae,0.002517906568768047,0.35%,0.358889095035205,0.36435017582863954,vae,0.005461080793434547,-1.52%,0.027477194873350007,0.02279100775080069,mvae,0.004686187122549316,17.05%,0.6161913724618633,0.55704797955295,vae,0.05914339290891324,-9.60%,0.44254588264977407,0.4091765292745246,vae,0.03336935337524949,-7.54%
16,0.01439729685547053,0.014462347130733745,vae,6.505027526321552e-05,-0.45%,0.8023571428571429,0.7982857142857143,vae,0.004071428571428615,-0.51%,0.5413034890125222,0.5559343033878854,vae,0.014630814375363177,-2.70%,0.27648207332138997,0.2831122631612373,vae,0.006630189839847311,-2.40%,0.017339503903474118,0.02162714309777533,vae,0.004287639194301213,-24.73%,0.5069224851870601,0.5402594854524699,mvae,0.033337000265409866,6.58%,0.35383506110061086,0.3800380061226323,mvae,0.026202945022021418,7.41%
32,0.014444030895177547,0.014325796533256508,mvae,0.00011823436192103833,0.82%,0.8208571428571428,0.8215,mvae,0.0006428571428571672,0.08%,0.5021550169752182,0.495320063293114,mvae,0.006834953682104239,1.36%,0.25447852342941346,0.251596096049884,mvae,0.002882427379529484,1.13%,0.023842290867652226,0.025885507658123953,vae,0.0020432167904717267,-8.57%,0.5278378780331925,0.5242768639403149,vae,0.003561014092877568,-0.67%,0.384222730339155,0.36073611200234695,vae,0.02348661833680804,-6.11%
256,0.015051470942816999,0.015028602310936931,mvae,2.2868631880067908e-05,0.15%,0.8587142857142858,0.8663571428571428,mvae,0.007642857142857062,0.89%,0.4065757038087226,0.3842481919726125,mvae,0.022327511836110092,5.49%,0.20558746823401583,0.19363446277670496,mvae,0.011953005457310872,5.81%,0.03010395321569275,0.02937412857370715,mvae,0.0007298246419856005,2.42%,0.5389570644190562,0.5363860998406381,vae,0.0025709645784181,-0.48%,0.38336847546673586,0.37563086188329775,vae,0.007737613583438108,-2.02%
512,0.015683278325695337,0.015660151423240194,mvae,2.312690245514365e-05,0.15%,0.8648571428571429,0.8675714285714285,mvae,0.002714285714285669,0.31%,0.3887415787323094,0.38277782705541663,mvae,0.005963751676892781,1.53%,0.1966837418458358,0.19435210639998274,mvae,0.0023316354458530753,1.19%,0.027691624124135283,0.02516450144137658,mvae,0.0025271226827587034,9.13%,0.5298509172087372,0.5298867183190289,mvae,3.580111029166666e-05,0.01%,0.3775926521010843,0.38093079905027877,mvae,0.003338146949194487,0.88%
