latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.03518018574184842,0.035346953180101184,vae,0.00016676743825276563,-0.47%,0.2185,0.21908333333333332,mvae,0.0005833333333333246,0.27%,2.1698834930194497,2.1696333379874075,mvae,0.0002501550320421764,0.01%,0.8708494269748465,0.8698162425988734,mvae,0.0010331843759731063,0.12%,0.04221195505683622,0.03994786897363762,mvae,0.0022640860831985993,5.36%,0.07441947446630134,0.07684916556820928,mvae,0.002429691101907938,3.26%,0.035472328692469766,0.04062871949364789,mvae,0.005156390801178121,14.54%
4,0.02935556647512648,0.029396657745043436,vae,4.1091269916956885e-05,-0.14%,0.26958333333333334,0.2695,vae,8.333333333332416e-05,-0.03%,2.062373765656644,2.061435105155347,mvae,0.000938660501296873,0.05%,0.8409252822078371,0.8406524104458031,mvae,0.00027287176203405483,0.03%,0.03916586778064568,0.038360061148802437,mvae,0.0008058066318432436,2.06%,0.09373821149321047,0.09652028646244022,mvae,0.0027820749692297475,2.97%,0.050046576193936536,0.05174777612916456,mvae,0.0017011999352280274,3.40%
16,0.018565446893374124,0.018227207713656955,mvae,0.0003382391797171688,1.82%,0.33916666666666667,0.33808333333333335,vae,0.001083333333333325,-0.32%,1.8977816359715398,1.8951643116208627,mvae,0.002617324350677075,0.14%,0.7947107459895624,0.7939575348009545,mvae,0.0007532111886078274,0.09%,0.03920819557954866,0.03825494602570932,mvae,0.0009532495538393387,2.43%,0.11256863512481481,0.10505657792442183,vae,0.0075120572003929825,-6.67%,0.06680270814598002,0.056581561189575955,vae,0.010221146956404067,-15.30%
32,0.015435747848616706,0.015182144416703118,mvae,0.00025360343191358804,1.64%,0.36441666666666667,0.37516666666666665,mvae,0.010749999999999982,2.95%,1.8156701206748398,1.7900762856815577,mvae,0.02559383499328205,1.41%,0.7704938045653315,0.76193415056156,mvae,0.008559654003771455,1.11%,0.029336443579445287,0.027448044349749883,mvae,0.001888399229695404,6.44%,0.11115291918247425,0.11780394046586191,mvae,0.0066510212833876675,5.98%,0.058193803958602845,0.07004549509035031,mvae,0.011851691131747465,20.37%
256,0.01489856885539161,0.014917817215124767,vae,1.924835973315768e-05,-0.13%,0.41883333333333334,0.41391666666666665,vae,0.00491666666666668,-1.17%,1.6633873851546825,1.6747695074386635,vae,0.011382122283980944,-0.68%,0.7216584031350236,0.7253404908263732,vae,0.0036820876913495892,-0.51%,0.03346199362228315,0.0302460132141908,mvae,0.003215980408092352,9.61%,0.10758417508968403,0.10492227544526442,vae,0.0026618996444196102,-2.47%,0.05666576274577218,0.05616508802955496,vae,0.000500674716217224,-0.88%
512,0.015272472805447048,0.015587376276652019,vae,0.00031490347120497093,-2.06%,0.4379166666666667,0.40725,vae,0.030666666666666675,-7.00%,1.6149825176047783,1.6980187905372346,vae,0.0830362729324563,-5.14%,0.7046806833489799,0.7329025215329573,vae,0.028221838183977388,-4.00%,0.03442054432630538,0.02847049833213289,mvae,0.005950045994172492,17.29%,0.10267047711051806,0.11304481825671157,mvae,0.010374341146193511,10.10%,0.05366597337535737,0.05687071826428663,mvae,0.003204744888929259,5.97%
