latent,mse/test::vae,mse/test::mvae,mse/test::winner,mse/test::delta_abs,mse/test::delta_rel,probe/acc::vae,probe/acc::mvae,probe/acc::winner,probe/acc::delta_abs,probe/acc::delta_rel,probe/nll::vae,probe/nll::mvae,probe/nll::winner,probe/nll::delta_abs,probe/nll::delta_rel,probe/brier::vae,probe/brier::mvae,probe/brier::winner,probe/brier::delta_abs,probe/brier::delta_rel,probe/ece::vae,probe/ece::mvae,probe/ece::winner,probe/ece::delta_abs,probe/ece::delta_rel,cluster/nmi::vae,cluster/nmi::mvae,cluster/nmi::winner,cluster/nmi::delta_abs,cluster/nmi::delta_rel,cluster/ari::vae,cluster/ari::mvae,cluster/ari::winner,cluster/ari::delta_abs,cluster/ari::delta_rel
2,0.08276988834986332,0.08280614454860825,vae,3.6256198744935575e-05,-0.04%,0.5362903225806451,0.5464516129032259,mvae,0.01016129032258073,1.89%,1.244524401427717,1.237989425324262,mvae,0.0065349761034549925,0.53%,0.5724562148822606,0.5682132263338869,mvae,0.004242988548373683,0.74%,0.057698810140211734,0.06471389130719246,vae,0.007015081166980727,-12.16%,0.43395319768716817,0.44286711381997845,mvae,0.008913916132810284,2.05%,0.24473702568844946,0.2653897495271868,mvae,0.02065272383873734,8.44%
4,0.08125127796125381,0.08114015133464078,mvae,0.00011112662661302841,0.14%,0.7025,0.7033064516129032,mvae,0.0008064516129031585,0.11%,0.8772599649968643,0.8789262842816695,vae,0.0016663192848052066,-0.19%,0.40551709180742534,0.40504522797431125,mvae,0.0004718638331140945,0.12%,0.03905536096062391,0.04435057852297058,vae,0.005295217562346667,-13.56%,0.44534582686203983,0.43338286255040304,vae,0.011962964311636792,-2.69%,0.29722741660484775,0.28002372692379396,vae,0.01720368968105379,-5.79%
16,0.08072460895309799,0.08078819104132486,vae,6.358208822686284e-05,-0.08%,0.7971774193548387,0.7985483870967742,mvae,0.0013709677419355693,0.17%,0.6201687937959042,0.617833680810749,mvae,0.0023351129851552077,0.38%,0.28910146597292213,0.28535012878760607,mvae,0.0037513371853160615,1.30%,0.025414619888028782,0.027598717384521024,vae,0.0021840974964922426,-8.59%,0.45044671563610517,0.4682871507256963,mvae,0.017840435089591156,3.96%,0.3319810231691885,0.3582810144969786,mvae,0.026299991327790095,7.92%
32,0.08095411851894235,0.08063545111529995,mvae,0.00031866740364240587,0.39%,0.8184677419354839,0.8153225806451613,vae,0.0031451612903226067,-0.38%,0.5614853378009345,0.5728711237897296,vae,0.011385785988795138,-2.03%,0.2619520839401429,0.2665125560611842,vae,0.00456047212104127,-1.74%,0.02872028676252212,0.03181740221958006,vae,0.0030971154570579376,-10.78%,0.4348442617079315,0.45568826564490134,mvae,0.020844003936969835,4.79%,0.3159360134008138,0.3282677200809861,mvae,0.012331706680172305,3.90%
256,0.08124190048609539,0.08096658612490486,mvae,0.00027531436119053454,0.34%,0.8458870967741936,0.8551612903225806,mvae,0.009274193548386989,1.10%,0.48685508469114996,0.45042946678438633,mvae,0.03642561790676363,7.48%,0.22528754281117896,0.21006964942894554,mvae,0.015217893382233422,6.75%,0.03320915786128853,0.031063567164444153,mvae,0.0021455906968443766,6.46%,0.44439258456966496,0.46177084915172356,mvae,0.0173782645820586,3.91%,0.31393461648148,0.3315804362774623,mvae,0.017645819795982287,5.62%
512,0.08161973246310085,0.08146453807195446,mvae,0.00015519439114639044,0.19%,0.8478225806451613,0.8535483870967742,mvae,0.005725806451612914,0.68%,0.4819381174014242,0.46526293378194916,mvae,0.016675183619475065,3.46%,0.22256719822570153,0.2150716412880284,mvae,0.007495556937673148,3.37%,0.03058810443647445,0.030997521201929733,vae,0.00040941676545528174,-1.34%,0.4329774862194311,0.45971270493466515,mvae,0.026735218715234044,6.17%,0.3071268541442011,0.33410566344692405,mvae,0.02697880930272295,8.78%
